"အေနာက္ပိုင္းတကၠသိုလ္(ထန္းတပင္)","21,22"
"အေနာက္ပိုင္းနည္းပညာတကၠသိုလ္","17,23"
"အေနာက္ေ႐ႊဂုံတိုင္လမ္း","11"
"အေနာ္ရထာလမ္း","4,5,7,31,54,58"
"အမွတ္(၂)လမ္း","2,46,60"
"အမွတ္(၃)လမ္း","36"
"အမွတ္(၃)လမ္းဆုံ","18,32,35,36,42"
"အမွတ္(၃)လမ္းပုလဲၿမိဳ႕သစ္","35"
"အမွတ္(၄)လမ္း","39,43,44"
"အေရွ႕ပိုင္းတကၠသိုလ္","34"
"အေရွ႕ျမင္းၿပိဳင္ကြင္းလမ္း","3,18,26,27"
"အလုံလွ်ပ္စစ္႐ုံး","22"
"အသင္းတိုက္","10,18,24"
"အာေသာကလမ္း","59"
"ေအာက္ၾကည့္ျမင့္တိုင္လမ္း","41,59"
"ေအာက္ထိပ္","54"
"ေအာက္မဂၤလာဒုံလမ္း","21"
"ေအာင္ေဇယ်တံတား","22"
"ေအာင္ေဇယ်လမ္း","26,60"
"ေအာင္မဂၤလာအေဝးေျပး","17,18"
"ေအာင္မဂၤလာအေဝးေျပးကြင္း","2"
"ေအာင္ျမင့္မိုရ္","6"
"ဥကၠံ","55"
"ဦးခ်စ္ေမာင္လမ္း","14"
"ဦးေထာင္ဘိုလမ္း","8,11"
"ဦးဝိစာရလမ္း","11,27"
"ဧရာဝဏ္လမ္း","3,4,8,9,32"
"၁၀မိုင္ကုန္း","6,37"
"၁၃၃ရပ္ကြက္","27"
"၁၄လမ္းဆုံ","21,40"
"၃ေထာင္ေကြ႕","41"
"၄၆လမ္းဆုံ","12"
"၅ေကြ႕","10"
"၆ေကြ႕","2,16,17,18,19"
"၇ေဈးလမ္း","8"
"၈မိုင္လမ္းဆုံ","6,6,15,16,19,30,35,37"
"၈၆ဂိတ္","54"
"၈၉လမ္းဆုံ","5"
"၉မိုင္","6"
